 time,value1, value2,value3
1,0,5.13,0.5142822265625
2,0,5.13,0.5142822265625
3,0,5.13,0.4482421875
4,0,5.13,0.4482421875
5,0,5.13,0.4482421875
6,0,5.13,0.5142822265625
7,0,5.13,0.5142822265625
8,0,5.13,0.5804443359375
9,0,5.13,0.5142822265625
10,0,5.13,0.5142822265625
11,0,5.13,0.5142822265625
12,0,5.13,0.5142822265625
13,0,5.13,0.5142822265625
14,0,5.13,0.5142822265625
15,0,5.13,0.4482421875
16,0,5.13,0.4482421875
17,0,5.13,0.4482421875
18,0,5.13,0.4482421875
19,0,5.13,0.4482421875
20,0,5.13,0.4482421875
21,0,5.13,0.5096435546875
22,0,5.13,0.4482421875
23,0,5.13,0.4482421875
24,0,5.13,0.3822021484375
25,0,5.13,0.3822021484375
26,0,5.13,0.3822021484375
27,0,5.13,0.3822021484375
28,0,5.13,0.3822021484375
29,0,5.13,0.3822021484375
30,0,5.13,0.4482421875
31,0,5.13,0.4482421875
32,0,5.13,0.4482421875
33,0,5.13,0.4482421875
34,0,5.13,0.3822021484375
35,0,5.13,0.3822021484375
36,0,5.13,0.4482421875
37,0,5.13,0.4482421875
38,0,5.13,0.4482421875
39,0,5.13,0.4482421875
40,0,5.13,0.4482421875
41,0,5.13,0.4482421875
42,0,5.13,0.3822021484375
43,0,5.13,0.3822021484375
44,0,5.13,0.3822021484375
45,0,5.13,0.3822021484375
46,0,5.13,0.3822021484375
47,0,5.13,0.3822021484375
48,0,5.13,0.3822021484375
49,0,5.13,0.3822021484375
50,0,5.13,0.3822021484375
51,0,5.13,0.3822021484375
52,0,5.13,0.3115234375
53,0,5.13,0.3115234375
54,0,5.13,0.3115234375
55,0,5.13,0.3115234375
56,0,5.13,0.245361328125
57,0,5.13,0.245361328125
58,0,5.13,0.3115234375
59,0,5.13,0.3115234375
60,0,5.13,0.3115234375
61,0,5.13,0.3115234375
62,0,5.13,0.245361328125
63,0,5.13,0.3115234375
64,0,5.13,-0.759521484375
65,0,5.13,0.04248046875
66,0,5.13,0.986083984375
67,0,5.13,1.72216796875
68,0,5.13,2.260009765625
69,0,5.13,2.462890625
70,0,5.13,3.1328125
71,0,5.13,3.335693359375
72,0,5.13,3.6046142578125
73,0,5.13,4.3406982421875
74,0,5.13,4.746337890625
75,0,5.13,5.4163818359375
76,0,5.13,6.091064453125
77,0,5.13,7.1619873046875
78,0,5.13,7.765869140625
79,0,5.13,8.9783935546875
80,0,5.13,9.9173583984375
81,0,5.13,10.9930419921875
82,0,5.13,12.2008056640625
83,0,5.13,14.017333984375
84,0,5.13,15.70166015625
85,0,5.13,17.6453857421875
86,0,5.13,19.7308349609375
87,0,5.13,22.6181640625
88,0,5.13,24.835693359375
89,0,5.13,26.387939453125
90,0,5.11,29.412109375
91,1,5.11,31.0257568359375
92,1,5.11,33.9178466796875
93,1,5.11,35.39453125
94,1,5.11,39.2349853515625
95,1,5.09,40.8486328125
96,1,5.09,41.92431640625
97,1,5.09,43.6038818359375
98,1,5.09,45.2174072265625
99,1,5.09,46.165771484375
100,1,5.09,47.7132568359375
101,1,5.09,49.33154296875
102,1,5.07,50.6761474609375
103,1,5.07,53.1719970703125
104,1,5.07,56.88037109375
105,1,5.07,59.447021484375
106,1,5.06,61.3294677734375
107,1,5.06,65.11328125
108,1,5.06,67.0712890625
109,1,5.06,70.8551025390625
110,1,5.06,73.5538330078125
111,1,5.06,75.9222412109375
112,1,5.06,78.1539306640625
113,1,5.06,80.5836181640625
114,1,5.06,83.2210693359375
115,1,5.06,85.9952392578125
116,1,5.06,88.4296875
117,1,5.06,90.45849609375
118,1,5.04,92.6240234375
119,1,5.04,95.063232421875
120,1,5.04,97.908203125
121,1,5.04,100.9512939453130
122,1,5.04,103.1876220703130
123,1,5.04,107.0469970703130
124,1,5.04,110.9818115234380
125,1,5.04,114.9166259765630
126,1,5.04,117.218994140625
127,1,5.04,120.2762451171880
128,1,5.02,123.5977783203130
129,1,5.02,127.4051513671880
130,1,5.02,131.4720458984380
131,56,21.595687866210900,78
132,1,5.02,135.2135009765630
133,1,5.02,138.68115234375
134,56,21.595687866210900,78
135,1,5.02,142.2197265625
136,1,5.02,147.93798828125
137,56,21.595687866210900,78
138,1,5.02,152.4954833984380
139,1,5.02,156.85498046875
140,1,5.02,161.1483154296880
141,1,5.02,166.465576171875
142,1,5.02,169.12646484375
143,1,5.02,173.2218017578130
144,1,5.02,178.4114990234380
145,1,5.02,182.7803955078130
146,1,5.02,185.851806640625
147,1,5.02,190.56982421875
148,1,5.02,195.287841796875
149,1,5.02,198.434814453125
150,56,21.595687866210900,78
151,1,5.02,205.002197265625
152,1,5.02,208.356689453125
153,1,5.02,213.8343505859380
154,1,5.02,219.0430908203130
155,1,5.02,222.4730224609380
156,1,5.02,228.026123046875
157,1,5.02,234.135986328125
158,1,5.02,238.4576416015630
159,1,5.02,242.7840576171880
160,1,5.02,251.719970703125
161,1,5.02,256.2586669921880
162,1,5.02,263.2744140625
163,1,5.02,270.5023193359380
164,1,5.02,278.013427734375
165,1,5.02,285.5291748046880
166,1,5.02,299.678466796875
167,1,5.02,307.48681640625
168,1,5.02,315.64892578125
169,1,5.02,327.481689453125
170,1,5.02,333.648193359375
171,2,5.0,345.9857177734380
172,2,5.0,354.8697509765630
173,2,5.0,363.9708251953130
174,2,5.0,373.1473388671880
175,2,5.0,382.333251953125
176,2,5.0,391.38720703125
177,2,5.0,400.375
178,2,5.0,409.376953125
179,2,5.0,415.5245361328130
180,2,5.0,424.885009765625
181,2,5.0,434.2596435546880
182,2,5.0,440.548828125
183,2,5.0,450.074462890625
184,2,5.0,459.4727783203130
185,2,5.0,465.714599609375
186,2,5.0,474.97607421875
187,2,5.0,484.322509765625
188,2,4.99,490.6446533203130
189,2,4.99,499.9390869140630
190,2,4.99,509.0260009765630
191,2,4.99,518.4666748046880
192,2,4.99,530.8184814453130
193,56,16.867904663085900,78
194,2,4.99,536.895263671875
195,2,4.99,546.01513671875
196,56,16.867904663085900,78
197,2,4.97,555.205810546875
198,2,4.97,564.335205078125
199,2,4.97,573.337158203125
200,2,4.97,585.533203125
201,2,4.97,591.6383056640630
202,2,4.97,603.7164306640630
203,2,4.97,612.6805419921880
204,2,4.97,621.58349609375
205,2,4.95,630.481689453125
206,2,4.95,639.327880859375
207,2,4.95,648.2496337890630
208,2,4.95,656.9638671875
209,2,4.95,665.692138671875
210,2,4.95,671.4150390625
211,56,16.867904663085900,78
212,2,4.95,680.15283203125
213,2,4.95,688.9613037109380
214,2,4.95,697.4254150390630
215,2,4.95,705.9697265625
216,2,4.95,711.6455078125
217,2,4.95,717.3873291015630
218,2,4.95,728.68701171875
219,2,4.95,734.3721923828130
220,2,4.95,742.878662109375
221,2,4.93,751.3759765625
222,2,4.93,759.457763671875
223,2,4.93,767.40283203125
224,2,4.93,775.494384765625
225,2,4.93,783.812255859375
226,2,4.93,792.281005859375
227,2,4.93,800.678955078125
228,2,4.93,809.0205078125
229,2,4.93,820.34375
230,2,4.93,828.552978515625
231,2,4.93,836.68701171875
232,2,4.93,844.768798828125
233,2,4.93,852.921630859375
234,2,4.93,861.08837890625
235,2,4.91,869.25048828125
236,2,4.91,877.427001953125
237,2,4.91,885.4521484375
238,2,4.91,893.496337890625
239,2,4.91,898.76171875
240,2,4.91,906.52294921875
241,2,4.91,914.5009765625
242,2,4.91,919.705078125
243,2,4.91,927.480224609375
244,2,4.91,935.4111328125
245,2,4.91,940.62939453125
246,2,4.91,948.631103515625
247,2,4.91,956.429931640625
248,2,4.91,961.58203125
249,2,4.9,974.53759765625
250,2,4.9,984.85595703125
251,2,4.9,992.45654296875
252,2,4.9,997.4814453125
253,2,4.88,1007.677001953130
254,2,4.88,1015.3720703125
255,2,4.88,1023.0009765625
256,2,4.88,1030.48388671875
257,2,4.88,1037.97607421875
258,2,4.88,1045.5341796875
259,2,4.88,1053.03125
260,2,4.88,1060.315673828130
261,2,4.88,1067.756103515630
262,2,4.88,1075.111328125
263,2,4.88,1082.41015625
264,2,4.88,1092.313232421880
265,2,4.88,1097.234130859380
266,2,4.88,1104.5517578125
267,2,4.88,1111.860107421880
268,2,4.88,1119.0361328125
269,2,4.88,1126.29248046875
270,2,4.86,1133.61474609375
271,2,4.86,1138.408203125
272,2,4.86,1143.277099609380
273,2,4.86,1150.4013671875
274,2,4.86,1157.51611328125
275,2,4.86,1162.248291015630
276,2,4.86,1169.447998046880
277,2,4.86,1176.515625
278,2,4.86,1183.663330078130
279,2,4.86,1193.071044921880
280,2,4.86,1200.06787109375
281,2,4.86,1204.814208984380
282,2,4.86,1214.094482421880
283,2,4.86,1218.7041015625
284,2,4.84,1225.79052734375
285,2,4.84,1232.669189453130
286,2,4.84,1239.477294921880
287,2,4.84,1248.776611328130
288,2,4.84,1255.593994140630
289,2,4.84,1262.3408203125
290,2,4.84,1269.229248046880
291,2,4.84,1275.909912109380
292,2,4.84,1282.670654296880
293,2,4.84,1289.497802734380
294,2,4.84,1296.26806640625
295,2,4.84,1300.68408203125
296,2,4.84,1309.51611328125
297,2,4.82,1313.9228515625
298,2,4.82,1320.556396484380
299,2,4.82,1327.194580078130
300,2,4.82,1331.76171875
301,2,4.82,1336.116455078130
302,2,4.82,1344.906005859380
303,2,4.82,1349.2607421875
304,2,4.82,1355.84228515625
305,2,4.81,1362.409912109380
306,56,9.410476684570310,78
307,2,4.81,1368.849853515630
308,2,4.81,1375.365478515630
309,56,9.410476684570310,78
310,2,4.81,1384.018310546880
311,2,4.81,1390.31201171875
312,56,9.410476684570310,78
313,2,4.81,1394.53955078125
314,2,4.81,1403.069580078130
315,2,4.81,1409.514404296880
316,2,4.81,1417.983154296880
317,2,4.81,1422.219970703130
318,2,4.81,1428.542236328130
319,2,4.81,1436.7939453125
320,2,4.81,1441.0966796875
321,2,4.81,1447.352783203130
322,2,4.81,1453.60888671875
323,2,4.79,1459.780029296880
324,2,4.79,1463.875244140630
325,56,9.410476684570310,78
326,2,4.79,1472.079833984380
327,2,4.79,1476.109130859380
328,2,4.79,1482.214111328130
329,2,4.79,1488.41845703125
330,2,4.79,1492.447509765630
331,2,4.79,1502.75634765625
332,2,4.79,1508.819091796880
333,2,4.79,1514.801513671880
334,2,4.79,1518.825927734380
335,2,4.79,1524.973388671880
336,2,4.79,1531.045654296880
337,2,4.79,1534.942626953130
338,2,4.77,1542.87353515625
339,2,4.77,1548.879638671880
340,2,4.77,1552.781494140630
341,2,4.77,1560.665283203130
342,2,4.77,1566.605224609380
343,2,4.77,1572.545166015630
344,2,4.77,1578.4755859375
345,2,4.77,1584.344970703130
346,2,4.77,1590.138671875
347,2,4.77,1595.85693359375
348,2,4.77,1601.64111328125
349,2,4.77,1607.5244140625
350,2,4.77,1613.332275390630
351,2,4.77,1619.0693359375
352,2,4.77,1624.8017578125
353,2,4.77,1630.609619140630
354,2,4.77,1636.191162109380
355,2,4.77,1641.781982421880
356,2,4.75,1647.358642578130
357,2,4.75,1651.218017578130
358,2,4.75,1658.705322265630
359,2,4.75,1662.493896484380
360,2,4.75,1666.1220703125
361,2,4.75,1671.72705078125
362,2,4.75,1677.31787109375
363,2,4.75,1680.95556640625
364,2,4.75,1688.386474609380
365,2,4.75,1692.104248046880
366,56,5.6623077392578100,78
367,2,4.75,1697.567626953130
368,2,4.75,1704.85693359375
369,56,5.6623077392578100,78
370,2,4.75,1710.164794921880
371,2,4.75,1715.53857421875
372,56,5.6623077392578100,78
373,2,4.75,1720.93115234375
374,2,4.75,1726.1728515625
375,2,4.75,1733.40087890625
376,2,4.75,1738.7841796875
377,2,4.75,1744.19580078125
378,2,4.75,1749.6025390625
379,2,4.75,1754.938720703130
380,2,4.75,1760.194580078130
381,2,4.74,1765.436279296880
382,2,4.74,1770.701416015630
383,2,4.74,1774.20703125
384,2,4.74,1781.07177734375
385,56,5.6623077392578100,78
386,2,4.74,1784.50634765625
387,2,4.74,1789.700927734380
388,2,4.74,1794.87646484375
389,2,4.74,1798.23095703125
390,2,4.74,1803.274658203130
391,2,4.74,1808.3935546875
392,2,4.72,1811.899169921880
393,2,4.72,1815.34326171875
394,2,4.72,1822.236328125
395,2,4.72,1825.68505859375
396,2,4.72,1830.657958984380
397,2,4.72,1835.772216796880
398,2,4.72,1839.0654296875
399,2,4.72,1845.571533203130
400,2,4.72,1848.704345703130
401,56,5.6623077392578100,78
402,2,4.72,1853.611083984380
403,2,4.72,1860.287109375
404,56,5.6623077392578100,78
405,2,4.72,1865.340087890630
406,2,4.72,1870.25146484375
407,56,5.6623077392578100,78
408,2,4.72,1875.167724609380
409,2,4.72,1880.003662109380
410,2,4.72,1884.90087890625
411,2,4.72,1891.27490234375
412,2,4.72,1896.0400390625
413,2,4.7,1900.94677734375
414,2,4.7,1905.796875
415,2,4.7,1915.341552734380
416,2,4.7,1920.177490234380
417,2,4.7,1924.956787109380
418,2,4.7,1928.113037109380
419,2,4.7,1932.812255859380
420,56,5.6623077392578100,78
421,2,4.7,1937.51611328125
422,2,4.7,1942.300048828130
423,2,4.7,1947.0087890625
424,2,4.7,1950.15576171875
425,2,4.7,1953.321533203130
426,2,4.7,1959.332275390630
427,2,4.7,1962.42236328125
428,2,4.7,1967.03662109375
429,2,4.7,1971.51416015625
430,2,4.7,1975.991455078130
431,2,4.7,1980.46875
432,2,4.7,1986.49853515625
433,2,4.68,1989.57470703125
434,2,4.68,1994.0615234375
435,2,4.68,2000.072265625
436,2,4.68,2004.563720703130
437,2,4.68,2009.05517578125
438,2,4.68,2013.546875
439,2,4.68,2017.882568359380
440,2,4.68,2023.605712890630
441,2,4.68,2026.526123046880
442,2,4.68,2030.86669921875
443,2,4.68,2035.18359375
444,2,4.68,2039.44384765625
445,2,4.68,2043.6240234375
446,2,4.68,2047.884521484380
447,2,4.66,2050.734130859380
448,2,4.66,2054.9189453125
449,2,4.66,2059.18408203125
450,2,4.66,2061.97705078125
451,2,4.66,2064.770263671880
452,2,4.66,2070.6865234375
453,2,4.66,2073.6259765625
454,2,4.66,2076.423583984380
455,2,4.66,2080.6982421875
456,2,4.66,2084.812255859380
457,2,4.66,2089.01123046875
458,2,4.66,2093.106689453130
459,2,4.66,2097.140380859380
460,2,4.66,2101.098876953130
461,2,4.66,2106.519775390630
462,2,4.66,2109.1572265625
463,2,4.66,2114.6064453125
464,2,4.66,2117.24853515625
465,2,4.66,2121.2919921875
466,2,4.66,2126.500732421880
467,2,4.66,2129.0625
468,2,4.66,2133.0302734375
469,2,4.65,2138.30517578125
470,2,4.65,2142.112548828130
471,2,4.65,2146.000244140630
472,2,4.65,2149.892578125
473,2,4.65,2153.78955078125
474,2,4.65,2157.771484375
475,2,4.65,2161.748779296880
476,2,4.65,2165.64599609375
477,2,4.65,2169.44384765625
478,2,4.65,2171.85009765625
479,2,4.65,2175.5869140625
480,2,4.65,2179.2431640625
481,2,4.65,2181.734375
482,2,4.63,2185.371826171880
483,2,4.63,2188.943359375
484,2,4.63,2192.604736328130
485,2,4.63,2195.020263671880
486,2,4.63,2200.011962890630
487,2,4.63,2203.677734375
488,2,4.63,2206.23486328125
489,2,4.63,2210.986083984380
490,2,4.63,2214.73681640625
491,2,4.63,2218.388671875
492,2,4.63,2223.229248046880
493,2,4.63,2226.734619140630
494,2,4.63,2229.070068359380
495,2,4.63,2233.66552734375
496,2,4.63,2237.067138671880
497,2,4.63,2243.92236328125
498,2,4.63,2247.437255859380
499,2,4.61,2250.9287109375
